,topic,introduction,name,price,cover,authors,translator,publisher,printer,id,weight,language,format,width,height,publish_date,pages
0,the-thao,"Thiền là một phương pháp đơn giản, chẳng hề tốn kém và cũng không yêu cầu bất kỳ công cụ đặc biệt nào, hơn cả, chúng ta có thể thực hành mọi lúc mọi nơi. Học thiền bao gồm việc học các bài tập và tiếp thu từng bước căn bản, để đến bước cuối cùng bạn có thể thật sự hành thiền một cách sơ cấp, không cần ai nhắc.Cuốn sách bao gồm 100 bài thiền được sắp xếp vào 8 chủ đề với những mục đích khác nhau, giúp bạn đọc dễ dàng lựa chọn bài thiền phù hợp với không gian và thời gian cụ thể. Dù bạn bận rộn hay thư thả, dù bạn đang tĩnh tâm hay lo lắng, thậm chí bạn chẳng biết chút gì về thiền định và những chuyện bên lề, bạn vẫn có thể thực hành các bài tập thiền chánh niệm này để xoa dịu tâm trí, cảm xúc và thân thể, từ đó gột rửa âu lo và đạt tới tự do tâm trí.Đức Đạt Lai Lạt Ma từng nói: “Chẳng điều gì trên đời có thể làm ta phiền muộn nhiều bằng chính tâm trí ta. Có vẻ như người khác đang làm phiền ta đấy, nhưng không phải họ đâu. Mà chính là cái tâm của ta”. Vậy thì hãy hành thiền ngay hôm nay, ngay lúc này, để xóa tan mọi phiền muộn trong lòng, tìm về với an lạc.Mục lục:Giới thiệuThấu hiểu chánh niệm, thiền và âu loPhần 1: Xoa dịu tâm tríPhần 2: Xoa dịu thân thểPhần 3: Xoa dịu cảm xúcPhần 4: Buổi sángPhần 5: Buổi tốiPhần 6: Chuyển độngPhần 7: 5 phútPhần 8: Thiền ở mọi nơi
Thiền là một phương pháp đơn giản, chẳng hề tốn kém và cũng không yêu cầu bất kỳ công cụ đặc biệt nào, hơn cả, chúng ta có thể thực hành mọi lúc mọi nơi. Học thiền bao gồm việc học các bài tập và tiếp thu từng bước căn bản, để đến bước cuối cùng bạn có thể thật sự hành thiền một cách sơ cấp, không cần ai nhắc.
Cuốn sách bao gồm 100 bài thiền được sắp xếp vào 8 chủ đề với những mục đích khác nhau, giúp bạn đọc dễ dàng lựa chọn bài thiền phù hợp với không gian và thời gian cụ thể. Dù bạn bận rộn hay thư thả, dù bạn đang tĩnh tâm hay lo lắng, thậm chí bạn chẳng biết chút gì về thiền định và những chuyện bên lề, bạn vẫn có thể thực hành các bài tập thiền chánh niệm này để xoa dịu tâm trí, cảm xúc và thân thể, từ đó gột rửa âu lo và đạt tới tự do tâm trí.
Đức Đạt Lai Lạt Ma từng nói: “Chẳng điều gì trên đời có thể làm ta phiền muộn nhiều bằng chính tâm trí ta. Có vẻ như người khác đang làm phiền ta đấy, nhưng không phải họ đâu. Mà chính là cái tâm của ta”. Vậy thì hãy hành thiền ngay hôm nay, ngay lúc này, để xóa tan mọi phiền muộn trong lòng, tìm về với an lạc.
Mục lục:
Giới thiệu
Thấu hiểu chánh niệm, thiền và âu lo
Phần 1: Xoa dịu tâm trí
Phần 2: Xoa dịu thân thể
Phần 3: Xoa dịu cảm xúc
Phần 4: Buổi sáng
Phần 5: Buổi tối
Phần 6: Chuyển động
Phần 7: 5 phút
Phần 8: Thiền ở mọi nơi",Gột Rửa Âu Lo Tự Do Tâm Trí,116000,https://www.vinabook.com/images/thumbnails/product/240x/367190_p94192mgtraulotdotmtrb1.jpg,Michael Smith,Vũ Hương Giang,NXB Thanh Niên,AZ books,8935325001888,400.0,Tiếng Việt,Bìa mềm,20.5,14.5,02/07/2021,256
1,the-thao,"Champions League – giải đấu quy tụ các ngôi sao hàng đầu thế giới và mang lại giá trị lớn chưa từng có cho những nhà tổ chức. Năm 2006, UEFA chỉ thu về hơn 600 triệu € cho cả mùa giải. Đến năm 2010, con số này đã tăng lên 1 tỷ €. Năm 2016, Champions League vượt qua cột mốc 2 tỷ và theo số liệu thống kê tháng 11-2020, bản quyền giải đấu mang lại cho UEFA tổng cộng 2,82 tỷ € cho mùa giải 2018-19. Với mùa giải 2019-20, hai nhà báo Alex Harvey và Daniel Geey đưa ra tính toán rằng doanh thu của Champions League sẽ là 3,25 tỷ € bất chấp nửa sau rơi vào giai đoạn của dịch Covid-19. Nhưng sự vĩ đại đầy hào nhoáng ấy không được Liên đoàn bóng đá châu Âu chào đón lúc ban đầu …“Tôi cho rằng siêu giải đấu này phải dựa trên thành tích, truyền thống và khả năng thu hút truyền hình của các đội bóng. Nó phải là một giải đấu dành cho truyền hình. Dự tính của tôi là một giải đấu có khoảng 18 CLB trong đó chắc chắn phải có 2 đội đến từ Anh, Italia và Tây Ban Nha”, Flynn nhớ lại về tình hình lúc ấy. Berlusconi hoàn toàn tán đồng và gửi kế hoạch tới UEFA. Tổ chức bóng đá khổng lồ này không hài lòng khi một gã Chủ tịch CLB lại định làm thay việc của họ. UEFA từ chối và Berlusconi dọa sẽ li khai, đồng thời lôi kéo các đội bóng khác làm theo, để tự xây dựng một “siêu giải đấu” của riêng mình.Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Tuy nhiên tuỳ vào từng loại sản phẩm hoặc phương thức, địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, ..
Champions League – giải đấu quy tụ các ngôi sao hàng đầu thế giới và mang lại giá trị lớn chưa từng có cho những nhà tổ chức. Năm 2006, UEFA chỉ thu về hơn 600 triệu € cho cả mùa giải. Đến năm 2010, con số này đã tăng lên 1 tỷ €. Năm 2016, Champions League vượt qua cột mốc 2 tỷ và theo số liệu thống kê tháng 11-2020, bản quyền giải đấu mang lại cho UEFA tổng cộng 2,82 tỷ € cho mùa giải 2018-19. Với mùa giải 2019-20, hai nhà báo Alex Harvey và Daniel Geey đưa ra tính toán rằng doanh thu của Champions League sẽ là 3,25 tỷ € bất chấp nửa sau rơi vào giai đoạn của dịch Covid-19. Nhưng sự vĩ đại đầy hào nhoáng ấy không được Liên đoàn bóng đá châu Âu chào đón lúc ban đầu …
“Tôi cho rằng siêu giải đấu này phải dựa trên thành tích, truyền thống và khả năng thu hút truyền hình của các đội bóng. Nó phải là một giải đấu dành cho truyền hình. Dự tính của tôi là một giải đấu có khoảng 18 CLB trong đó chắc chắn phải có 2 đội đến từ Anh, Italia và Tây Ban Nha”, Flynn nhớ lại về tình hình lúc ấy. Berlusconi hoàn toàn tán đồng và gửi kế hoạch tới UEFA. Tổ chức bóng đá khổng lồ này không hài lòng khi một gã Chủ tịch CLB lại định làm thay việc của họ. UEFA từ chối và Berlusconi dọa sẽ li khai, đồng thời lôi kéo các đội bóng khác làm theo, để tự xây dựng một “siêu giải đấu” của riêng mình.
Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Tuy nhiên tuỳ vào từng loại sản phẩm hoặc phương thức, địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, ..","Cup C1 Châu Âu, 66 Năm Lịch Sử",143000,https://www.vinabook.com/images/thumbnails/product/240x/366814_p94025ma6c4ed29ec0329669d07287a883ce224.jpg,"Dũng Phan, Vũ Hoàng, Nhiều tác giả",,Nxb Hà Nội,TH Books,9786045593837,700.0,Tiếng Việt,Bìa mềm,16.0,24.0,05/2021,400
2,the-thao,"Cuốn sách này có tên ""Từ Pele Đến Maradona"" - là tên của 2 dah thủ lớn nhất ở mọi thời đại trong lịch sử bóng đá Thế giới. Đó là 2 tên mang tính biểu trưng, nhưng cũng rất cụ thể. Bởi nếu tính mốc thời gian năm 1975 là năm Pele cho đến năm 1997 là năm Maradona giã từ bóng đá đỉnh cao, là vừa tròn một thế kỷ. Cũng có những người chơi bóng đá sớm hơn như Florian, Albert... nhưng họ chỉ thực sự thành danh trong khoảng thời gian mà thôi. Trong nửa thế kỷ ấy, thế giới bóng đá đã trải qua những biến đổi lớn lao, những sự kiện hùng vĩ, những dấu ấn không phai mờ trong trái tim những người yêu bóng đá.Cuốn sách này chỉ là một phần - một phần của lịch sử bóng đá nửa cuối thế kỷ XX qua gương mặt con người.",Từ Pele Đến Maradona - Một Cuốn Cẩm Nang Về Bóng Đá,127000,https://www.vinabook.com/images/thumbnails/product/240x/366432_p93861mscan0002.jpg,--Yên Ba--,,Nxb Lao động,TH Books,9786043209167,1100.0,Tiếng Việt,Bìa mềm,23.5,15.5,2021,683
3,the-thao,"Yoga Cùng ""Hoàng Thượng"" - Yogi Cats
Mèo là loài duy nhất trong thế giới động vật thể hiện được tinh thần của yoga.
Kết hợp thiền định với các bài tập thể dục và bản tính điềm tĩnh của loài mèo, Yoga cùng “Hoàng Thượng” mang lại cho độc giả biết thế nào là dẻo dai, linh hoạt và hợp nhất với bản thân. Từ cơ bản đến nâng cao, mục đích của các tư thế yoga là khơi dậy những sức mạnh nội tại trong cơ thể và tâm trí. Hãy gập duỗi người với những “Hoàng Thượng” thư thái, đáng yêu và năng động khi các bé mèo giải thích và thực hiện các tư thế phổ biến. Bên cạnh đó, sách còn đưa ra những hướng dẫn cụ thể, rõ ràng và những lời khuyên sáng suốt, thực tế.","Yoga Cùng ""Hoàng Thượng"" - Yogi Cats",66000,https://www.vinabook.com/images/thumbnails/product/240x/366369_p93837mimage230557.jpg,Paige Hodges,Phạm Thanh Tâm,Nxb Thanh Hóa,Văn Lang,8935074124807,350.0,Tiếng Việt,Bìa mềm,21.0,13.5,2021,111
4,the-thao,"Trong Con đường hạnh phúc: Phép màu hành thiền trong thể kỷ 21 , Thiền sư Gelong thubten sẽ đưa độc giả bước vào hành trình khám phá bản chất của hạnh phúc,, đồng thời chỉ dẫn cách thiền định và chánh niệm có thể giúp chúng ta tìm được hạnh phúc. Cuốn sách này sẽ giúp bạn: -Tiếp cận các phương pháp hành thiền để hạnh phúc - Dung dưỡng lòng trắc ẩn đối với bản thân và người khác - Học cách hành thiền cả trong những ngày bận rộn -Khám phá ra rằng hạnh phúc thật ra là bản năng của chúng ta. Đây là cuốn sách có thể ""Cách mạng hoá""  mối quan hệ của bạn với những suy nghĩ và cảm xúc.",Con Đường Hạnh Phúc,109000,https://www.vinabook.com/images/thumbnails/product/240x/366304_p93810mimage231203.jpg,Thiền sư Gelong Thubten,Lộc Diệu Linh,NXB Thanh Niên,Huy Hoàng,8935095631414,250.0,Tiếng Việt,Bìa mềm,20.5,13.5,2021,248
5,the-thao,"Như một thứ rượu hảo hạng, để càng lâu lại càng ngon, Zlatan vẫn đang chơi tốt ở tuổi 39. Không phải kiểu “tròn vai” như những lão tướng chờ ngày giải nghệ, mà là trụ cột ở một đội bóng lớn. Có anh, AC Milan nhìn thấy ngôi đầu bảng và triển vọng vô địch lần đầu tiên sau nhiều năm ủ dột. Có anh, một Serie A nhàm chán bởi sự thống trị của Juventus bỗng dưng hấp dẫn trở lại. Nhưng điều làm cho Zlatan trở nên độc nhất vô nhị lại không phải là tài năng, mà là cá tính của anh. Thứ cá tính được trui rèn từ những khu ổ chuột, từ quá khứ tăm tối của một cậu nhóc đi trộm xe đạp, từ một kẻ thiếu thốn tình thương của mẹ, phải sống chung với một người cha nghiện rượu - một nạn nhân của chiến tranh...
Mời bạn đón đọc!",Tôi Là Zlatan Ibrahimovic (Tặng Kèm Sổ Tay),127000,https://www.vinabook.com/images/thumbnails/product/240x/364809_p93170m2d.jpg,"Zlatan Ibrahimovic', David Lagercrantz",Trần Minh,Nxb Lao động,TH Books,9786043201956,750.0,Tiếng Việt,Bìa mềm,16.0,24.0,02/2021,348
6,the-thao,"Karate là môn võ thuật có nguồn gốc từ phương Đông và được phát triển để sử dụng trong chiến đấu. Thuật ngữ “Karate” theo nguồn gốc tiếng Nhật có nghĩa là “tay không”. Chân, tay, ngón tay, đầu gối và cùi chỏ - tất cả đều được sử dụng như những công cụ tự nhiên để tấn công và tự vệ. Chính vì vậy, Karate là một trong những môn võ được ưa chuộng nhất trên thế giới.Hướng dẫn tập luyện karate bằng hình ảnh mang đến cho người tập một cơ hội để tăng cường sức khỏe, một cách thức để giữ cân bằng trong cuộc sống, đạt tới sự hợp nhất giữa thể chất và tinh thần.",Hướng Dẫn Tập Luyện Karate Bằng Hình Ảnh (Tái Bản 2019),49000,https://www.vinabook.com/images/thumbnails/product/240x/364573_p93088mimage19550914373.jpg,Sanette Smit,Kiến Văn,Nxb Văn Hóa,Văn Lang,8935074119254,290.0,Tiếng Việt,Bìa mềm,14.5,20.5,01/2021,144
7,the-thao,"Trong bất kỳ hoàn cảnh nào và ở bất cứ đâu, sức khỏe luôn là điều quan trọng nhất. Để rèn luyện sức khỏe có rất nhiều cách vận động hay thậm chí các bài tập phải trả chi phí như tập cùng huấn luyện viên, pilates. Cho dù là bài tập nào thì việc học và tập thử cũng là một việc tốt. Tuy nhiên, điều quan trọng nhất đó chính là tạo ra được một bài tập luyện riêng của bản thân mình. Nếu bạn nắm được phương pháp tập thể dục phù hợp với bản thân thì có thể quản lý sức khỏe một cách dễ dàng.Để giải quyết vấn đề này Nhà xuất bản Phụ nữ Việt Nam xin giới thiệu cuốn sách GIÃN CƠ LÀ ĐỦ.Giãn cơ chính là một bài tập tốt cho việc tạo ra một bài tập vận động. Nếu bạn nắm được một vài động tác giãn cơ thì bạn sẽ dễ dàng duy trì được hiệu quả trong các bài tập khác. Điều tuyệt nhất là giãn cơ giúp bạn luôn khỏe mạnh và có một thân hình đẹp.Giãn cơ là các bài tập có sức cuốn hút nhất đối với những con người hiện đại bận rộn. Chỉ cần tập các bài tập giãn cơ bất cứ ở đâu và bất cứ lúc nào rảnh rỗi cũng có thể giúp cơ thể trở nên khỏe mạnh và có sức đàn hồi hơn. Tùy theo lối sống, mỗi người có thể chọn cho mình thời gian buổi sáng, buổi tối hay bất cứ lúc nào phù hợp để giãn cơ và mỗi ngày chỉ cần 5 phút là đủ.Với các hình minh họa động tác chân thực dễ hiểu, cuốn sách giúp độc giả tiếp cận dễ dàng với các bài tập giãn cơ từ cơ bản tới nâng cao. Mỗi ngày đều đặn 5 phút giãn cơ sẽ tác động rất lớn đến sự phát triển của trẻ nhỏ và thanh thiếu niên, thậm chí người đã trưởng thành cũng có hiệu quả rất tốt. Khi cơ thể kiệt sức, nếu mục đích của bạn không phải là để tập luyện hay đăng những bức ảnh lên mạng xã hội và khoe với người khác thì quả thực chỉ cần giãn cơ là đủ.Đối với những người bận rộn không có thời gian vận động thì giãn cơ là một điều kiện cần thiết để có một cuộc sống khỏe mạnh. Trong cuộc sống dù bận rộn các bạn cũng nên quan tâm tới sức khỏe của bản thân mình bằng thói quen giãn cơ, điều này sẽ giúp cơ thể khỏe mạnh hơn, dẻo dai và có sức đàn hồi tốt hơn.Mời bạn đón đọc.
Trong bất kỳ hoàn cảnh nào và ở bất cứ đâu, sức khỏe luôn là điều quan trọng nhất. Để rèn luyện sức khỏe có rất nhiều cách vận động hay thậm chí các bài tập phải trả chi phí như tập cùng huấn luyện viên, pilates. Cho dù là bài tập nào thì việc học và tập thử cũng là một việc tốt. Tuy nhiên, điều quan trọng nhất đó chính là tạo ra được một bài tập luyện riêng của bản thân mình. Nếu bạn nắm được phương pháp tập thể dục phù hợp với bản thân thì có thể quản lý sức khỏe một cách dễ dàng.
Để giải quyết vấn đề này Nhà xuất bản Phụ nữ Việt Nam xin giới thiệu cuốn sách GIÃN CƠ LÀ ĐỦ.
Giãn cơ chính là một bài tập tốt cho việc tạo ra một bài tập vận động. Nếu bạn nắm được một vài động tác giãn cơ thì bạn sẽ dễ dàng duy trì được hiệu quả trong các bài tập khác. Điều tuyệt nhất là giãn cơ giúp bạn luôn khỏe mạnh và có một thân hình đẹp.
Giãn cơ là các bài tập có sức cuốn hút nhất đối với những con người hiện đại bận rộn. Chỉ cần tập các bài tập giãn cơ bất cứ ở đâu và bất cứ lúc nào rảnh rỗi cũng có thể giúp cơ thể trở nên khỏe mạnh và có sức đàn hồi hơn. Tùy theo lối sống, mỗi người có thể chọn cho mình thời gian buổi sáng, buổi tối hay bất cứ lúc nào phù hợp để giãn cơ và mỗi ngày chỉ cần 5 phút là đủ.
Với các hình minh họa động tác chân thực dễ hiểu, cuốn sách giúp độc giả tiếp cận dễ dàng với các bài tập giãn cơ từ cơ bản tới nâng cao. Mỗi ngày đều đặn 5 phút giãn cơ sẽ tác động rất lớn đến sự phát triển của trẻ nhỏ và thanh thiếu niên, thậm chí người đã trưởng thành cũng có hiệu quả rất tốt. Khi cơ thể kiệt sức, nếu mục đích của bạn không phải là để tập luyện hay đăng những bức ảnh lên mạng xã hội và khoe với người khác thì quả thực chỉ cần giãn cơ là đủ.
Đối với những người bận rộn không có thời gian vận động thì giãn cơ là một điều kiện cần thiết để có một cuộc sống khỏe mạnh. Trong cuộc sống dù bận rộn các bạn cũng nên quan tâm tới sức khỏe của bản thân mình bằng thói quen giãn cơ, điều này sẽ giúp cơ thể khỏe mạnh hơn, dẻo dai và có sức đàn hồi tốt hơn.",Giãn Cơ Là Đủ - Yoga Cho Dân Văn Phòng,94000,https://www.vinabook.com/images/thumbnails/product/240x/362620_p92508mgiancoladu1.jpg,SeoHee Park,Đỗ Thị Tuyết Mai,NXB Phụ Nữ,NXB Phụ Nữ,9786045663882,500.0,Tiếng Việt,Bìa mềm,21.5,29.0,07/10/2020,96
8,the-thao,"Giữa chốn hỗn độn nơi công sở, làm thế nào để ta cả thiện những mặt tích cực như sự thành công, sáng tạo, thử thách và niềm vui khi tham gia vào một nỗ lực chung, và hạn chế những mặt tiêu cực như căng thẳng, kiệt sức hay cảm giác bị choáng ngợp và không được đánh giá đúng? Cuốn sách này sẽ giúp bạn làm được điều đó. Nó hướng dẫn bạn cách nuôi dưỡng chánh niệm, lòng từ bi và khả năng nhận thức, rồi gắn kết những điều đó với không gian làm việc của bản thân. Nó cho ta biết cách cam kết mà không bị choáng ngợp; cách duy trì sự cạnh tranh mà không tỏ ra tàn nhẫn; cách quản lí thời gian và cảm xúc để đối phó với căng thẳng và bực bội.  Vậy, nếu những hạn chót trong công việc đang phả hơi vào gáy bạn thì sao? Hãy bắt đầu bằng việc hít thở. Mời bạn đón đọc.
Giữa chốn hỗn độn nơi công sở, làm thế nào để ta cả thiện những mặt tích cực như sự thành công, sáng tạo, thử thách và niềm vui khi tham gia vào một nỗ lực chung, và hạn chế những mặt tiêu cực như căng thẳng, kiệt sức hay cảm giác bị choáng ngợp và không được đánh giá đúng? 
Cuốn sách này sẽ giúp bạn làm được điều đó. Nó hướng dẫn bạn cách nuôi dưỡng chánh niệm, lòng từ bi và khả năng nhận thức, rồi gắn kết những điều đó với không gian làm việc của bản thân. Nó cho ta biết cách cam kết mà không bị choáng ngợp; cách duy trì sự cạnh tranh mà không tỏ ra tàn nhẫn; cách quản lí thời gian và cảm xúc để đối phó với căng thẳng và bực bội.  
Vậy, nếu những hạn chót trong công việc đang phả hơi vào gáy bạn thì sao? Hãy bắt đầu bằng việc hít thở.",An Nhiên Giữa Những Bộn Bề,89000,https://www.vinabook.com/images/thumbnails/product/240x/362553_p92482mannhien.jpg,Sharon Salzberg,Thanh Hằng,NXB Thanh Niên,Minh Long,8936067603606,420.0,Tiếng Việt,Bìa mềm,13.5,20.5,06/10/2020,328
9,the-thao,"""...Do đó, ta có làm được điều gì, hay không làm được điều gì, thì vũ trụ vạn hữu này cũng chẳng hề có ta, ta không là gì cả, ta như chưa bao giờ có mặt trên cõi đời này, dẫu có hành vi bao nhiêu điều, thì cũng chẳng hề có ta sở đắc. Ta không thể tạo sinh được một cái gì, cũng không riêng một cái gì tạo sinh ra ta, ta chỉ là một sự biểu hiện, mà sự biểu hiện đó là bởi sự vận động của toàn thể pháp giới...""(Thiền Đông độ - Tổ 40 )
Mời bạn đón đọc.",Pháp Thoại Thiền Đốn Ngộ,68000,https://www.vinabook.com/images/thumbnails/product/240x/362084_p92335mscan0001.jpg,Bùi Thành,,NXB Hồng Đức,Nhà sách Hoa Sen,9786043020311,594.0,Tiếng Việt,Bìa mềm,14.5,20.5,22/09/2020,520
